,id,symbol,type,opened,closed,avgCost,avgClosePrice,closingPnl,maxOpenInterest,closedVolume,isolated,side,status,updateTime
0,32293043,DOGEUSDT,UM,1714057524548,1714057985885,0.14931,0.14998,0.15611,233.0,233.0,Cross,Long,All Closed,1714057986353
1,32291678,DOGEUSDT,UM,1714056812671,1714057331843,0.14933,0.15,0.15611,233.0,233.0,Cross,Long,All Closed,1714057332051
2,32267701,DOGEUSDT,UM,1714048883128,1714054054504,0.14947,0.15014,0.15544,232.0,232.0,Cross,Long,All Closed,1714054054810
3,32254273,DOGEUSDT,UM,1714043618318,1714043887112,0.14878,0.14945,0.15611,233.0,233.0,Cross,Long,All Closed,1714043887607
4,32227996,DOGEUSDT,UM,1714030519932,1714043442023,0.14848553,0.14915,0.54751999,824.0,824.0,Cross,Long,All Closed,1714043442192
5,32214837,DOGEUSDT,UM,1714021529061,1714023153286,0.15032,0.151,0.15708,231.0,231.0,Cross,Long,All Closed,1714023153464
6,32210565,DOGEUSDT,UM,1714019520218,1714019894050,0.15006,0.15073,0.15477,231.0,231.0,Cross,Long,All Closed,1714019894258
7,32186364,DOGEUSDT,UM,1714009654371,1714019508365,0.14942046,0.15009,0.54968999,821.0,821.0,Cross,Long,All Closed,1714019508435
8,32124870,DOGEUSDT,UM,1713981636924,1714005080707,0.15181517,0.1525,0.55196999,806.0,806.0,Cross,Long,All Closed,1714005080898
9,32117159,DOGEUSDT,UM,1713978592259,1713979483915,0.15412,0.15481,0.15525,225.0,225.0,Cross,Long,All Closed,1713979484112
10,32046470,DOGEUSDT,UM,1713961367964,1713978585575,0.15354512,0.15400807,4.73455998,10227.0,10227.0,Cross,Long,All Closed,1713978585694
11,31996449,DOGEUSDT,UM,1713936676412,1713958191311,0.16197,0.1627,0.15549,213.0,213.0,Cross,Long,All Closed,1713958191430
12,31992558,MATICUSDT,UM,1713934714359,1714060250973,0.70993193,0.71657673,9.13659998,1375.0,1375.0,Cross,Long,All Closed,1714060251139
13,31989950,MATICUSDT,UM,1713934028458,1713934700655,0.7548,0.7624,0.4788,63.0,63.0,Cross,Long,All Closed,1713934700751
