,time,symbol,side,price,fee,feeAsset,quantity,quantityAsset,realizedProfit,realizedProfitAsset,baseAsset,qty,positionSide,activeBuy
0,1714060265000,MATICUSDT,BUY,0.7172,-0.00961047,USDT,48.0524,USDT,0.0,USDT,MATIC,67.0,LONG,False
1,1714060250000,MATICUSDT,SELL,0.7171,-0.06138376,USDT,306.9188,USDT,3.06793512,USDT,MATIC,428.0,LONG,True
2,1714059786000,MATICUSDT,SELL,0.7166,-0.06105432,USDT,305.2716,USDT,2.84059898,USDT,MATIC,426.0,LONG,True
3,1714059489000,MATICUSDT,SELL,0.7162,-0.06116348,USDT,305.8174,USDT,2.67646705,USDT,MATIC,427.0,LONG,True
4,1714059433000,MATICUSDT,SELL,0.7158,-0.01345704,USDT,67.2852,USDT,0.55159883,USDT,MATIC,94.0,LONG,True
5,1714057986000,DOGEUSDT,SELL,0.14998,-0.00698906,USDT,34.94534,USDT,0.15611,USDT,DOGE,233.0,LONG,True
6,1714057525000,DOGEUSDT,BUY,0.14931,-0.00695784,USDT,34.78923,USDT,0.0,USDT,DOGE,233.0,LONG,False
7,1714057332000,DOGEUSDT,SELL,0.15,-0.00699,USDT,34.95,USDT,0.15611,USDT,DOGE,233.0,LONG,True
8,1714056813000,DOGEUSDT,BUY,0.14933,-0.00695877,USDT,34.79389,USDT,0.0,USDT,DOGE,233.0,LONG,False
9,1714054054000,DOGEUSDT,SELL,0.15014,-0.00696649,USDT,34.83248,USDT,0.15544,USDT,DOGE,232.0,LONG,True
10,1714050482000,ATOMUSDT,BUY,8.227,-0.01781968,USDT,89.09841,USDT,0.0,USDT,ATOM,10.83,LONG,False
11,1714048883000,DOGEUSDT,BUY,0.14947,-0.0069354,USDT,34.67704,USDT,0.0,USDT,DOGE,232.0,LONG,False
12,1714043887000,DOGEUSDT,SELL,0.14945,-0.00696437,USDT,34.82185,USDT,0.15611,USDT,DOGE,233.0,LONG,True
13,1714043618000,DOGEUSDT,BUY,0.14878,-0.00693314,USDT,34.66574,USDT,0.0,USDT,DOGE,233.0,LONG,False
14,1714043442000,DOGEUSDT,SELL,0.14915,-0.02457992,USDT,122.8996,USDT,0.54751999,USDT,DOGE,824.0,LONG,True
15,1714039848000,DOGEUSDT,BUY,0.14757,-0.01753131,USDT,87.65658,USDT,0.0,USDT,DOGE,594.0,LONG,False
16,1714030890000,ATOMUSDT,BUY,8.37,-0.01086426,USDT,54.3213,USDT,0.0,USDT,ATOM,6.49,LONG,False
17,1714030520000,DOGEUSDT,BUY,0.15085,-0.0069391,USDT,34.6955,USDT,0.0,USDT,DOGE,230.0,LONG,False
18,1714023153000,DOGEUSDT,SELL,0.151,-0.0069762,USDT,34.881,USDT,0.15708,USDT,DOGE,231.0,LONG,True
19,1714021529000,DOGEUSDT,BUY,0.15032,-0.00694478,USDT,34.72392,USDT,0.0,USDT,DOGE,231.0,LONG,False
20,1714019894000,DOGEUSDT,SELL,0.15073,-0.00696372,USDT,34.81863,USDT,0.15477,USDT,DOGE,231.0,LONG,True
21,1714019520000,DOGEUSDT,BUY,0.15006,-0.00693277,USDT,34.66386,USDT,0.0,USDT,DOGE,231.0,LONG,False
